Gene	Virus	Virus_num	Virally_targeted
ACP3	Human cytomegalovirus	1	Specific
ACP7	Human cytomegalovirus	1	Specific
ACSF2	SARS-CoV-1,SARS-CoV-2	2	Specific
ACSL1	Human cytomegalovirus,Human respiratory syncytial virus	2	Specific
ACSL3	Epstein-Barr virus,Human immunodeficiency virus 1,Human papillomavirus 11,Human papillomavirus 6b,Human respiratory syncytial virus,Influenza A virus (H1N1),MERS-CoV,SARS-CoV-1,SARS-CoV-2	9	Specific
ACSL4	Human cytomegalovirus,Human papillomavirus 6b,Human respiratory syncytial virus,Influenza A virus (H1N1)	4	Specific
ACSL6	Influenza A virus (H1N1)	1	Specific
ACSM3	Hepatitis B virus	1	Specific
ACSS2	Hepatitis B virus,Human cytomegalovirus	2	Specific
ACTA1	Human immunodeficiency virus 1,Influenza A virus (H1N1)	2	Specific
ACTA2	Dengue virus 2,Human cytomegalovirus,Human herpesvirus 1,Human T-cell leukemia virus 1,Influenza A virus (H1N1),Influenza A virus (H5N1),Lake Victoria marburgvirus 	7	Specific
ACTB	Dengue virus 2,Epstein-Barr virus,Hepatitis C virus,Human herpesvirus 1,Human immunodeficiency virus 1,Human papillomavirus 18,Human papillomavirus 39,Human papillomavirus 5,Human papillomavirus 8,Human papillomavirus 9,Influenza A virus (H1N1),Influenza A virus (H3N2),Measles virus 	13	Specific
ACTBL2	Hepatitis C virus,Human cytomegalovirus,Influenza A virus (H1N1),Thogoto virus	4	Specific
ACTC1	Human papillomavirus 16,Influenza A virus (H1N1)	2	Specific
ACTG1	Dengue virus 2,Hepatitis E virus,Human immunodeficiency virus 1,Human papillomavirus 5,Influenza A virus (H1N1)	5	Specific
ACTG2	Dengue virus 2,Human cytomegalovirus,Human herpesvirus 1,Influenza A virus (H1N1),Influenza A virus (H5N1),Lake Victoria marburgvirus 	6	Specific
ACTL6A	Human cytomegalovirus,Human immunodeficiency virus 1,Human T-cell leukemia virus 1	3	Specific
ACTN1	Epstein-Barr virus,Hepatitis C virus,Human immunodeficiency virus 2,Human papillomavirus 3,Human papillomavirus 32,Human papillomavirus 5,Human papillomavirus 9,Influenza A virus (H1N1),Lymphocytic choriomeningitis virus,Murid herpesvirus 4,Simian immunodeficiency virus	11	Specific
ACTN2	Hepatitis C virus,Influenza A virus (H1N1),SARS-CoV-2	3	Specific
ACTN3	Human cytomegalovirus	1	Specific
ACTN4	Epstein-Barr virus,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),Lymphocytic choriomeningitis virus,Murid herpesvirus 4	6	Specific
ACTR1A	Influenza A virus (H1N1)	1	Specific
ACTR2	Human cytomegalovirus,Human papillomavirus 3,Influenza A virus (H1N1)	3	Specific
ACTR3	Human papillomavirus 39	1	Specific
ACTR5	Human cytomegalovirus	1	Specific
ACTRT1	Dengue virus 2	1	Specific
ACVR1	HCoV-NL63,SARS-CoV-1,SARS-CoV-2	3	Specific
ACVR1B	HCoV-NL63,SARS-CoV-1,SARS-CoV-2	3	Specific
ACVR2A	SARS-CoV-2	1	Specific
ACY1	Hepatitis C virus,Hepatitis E virus,Human cytomegalovirus	3	Specific
ADA	Human cytomegalovirus	1	Specific
ADAM10	Epstein-Barr virus,Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 11,Human papillomavirus 6b	5	Specific
ADAM17	Human immunodeficiency virus 1,SARS-CoV-2	2	Specific
ADAM9	Epstein-Barr virus,Human cytomegalovirus,Human papillomavirus 11,Human papillomavirus 18,Human papillomavirus 6b,Merkel cell polyomavirus,SARS-CoV-2	7	Specific
ADAMTS1	SARS-CoV-2	1	Specific
ADAMTS12	Zika virus	1	Specific
ADAMTSL4	Human cytomegalovirus	1	Specific
ADAR	Dengue virus 2,Ebola virus,Epstein-Barr virus,Hepatitis C virus,Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 39,Influenza A virus (H1N1),Influenza A virus (H5N1),Influenza A virus (H7N7),Influenza A virus (H9N2),Kaposi's sarcoma-associated herpesvirus,Vaccinia virus	13	Specific
ADCK2	Human papillomavirus 5	1	Specific
ADCY6	Epstein-Barr virus,Human cytomegalovirus,Human papillomavirus 11,Human papillomavirus 18,Human papillomavirus 6b	5	Specific
ADCY9	Epstein-Barr virus,HCoV-NL63,Human cytomegalovirus,SARS-CoV-1,SARS-CoV-2	5	Specific
ADGRA2	Human cytomegalovirus,Human papillomavirus 18	2	Specific
ADGRA3	SARS-CoV-2	1	Specific
ADGRE5	Human papillomavirus 8,Influenza A virus (H1N1),Murid herpesvirus 4	3	Specific
ADGRG1	Human cytomegalovirus,Human papillomavirus 18,SARS-CoV-2	3	Specific
ADGRG6	SARS-CoV-2	1	Specific
ADGRL2	Influenza A virus (H1N1),Zika virus	2	Specific
ADH1B	Hepatitis E virus,Human cytomegalovirus	2	Specific
ADH5	Human papillomavirus 8	1	Specific
ADIG	Hepatitis delta virus	1	Specific
ADIPOR1	HCoV-NL63,SARS-CoV-2	2	Specific
ADNP	Ebola virus,Epstein-Barr virus,Human herpesvirus 1,Influenza A virus (H1N1),Influenza A virus (H3N2),Murid herpesvirus 4	6	Specific
ADPGK	SARS-CoV-2	1	Specific
ADRA2C	Influenza A virus (H1N1)	1	Specific
ADRM1	Epstein-Barr virus,Influenza A virus (H1N1),Measles virus 	3	Specific
ADSL	Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	2	Specific
ADSS2	Influenza A virus (H3N2)	1	Specific
ADTRP	Hepatitis delta virus,Macaca mulatta polyomavirus 1	2	Specific
AEBP1	Hepatitis C virus,Human cytomegalovirus	2	Specific
AFAP1L2	Influenza A virus (H1N1)	1	Specific
AFDN	Hepatitis C virus,Human immunodeficiency virus 1	2	Specific
AFF1	Human immunodeficiency virus 1	1	Specific
AFF2	Human immunodeficiency virus 1	1	Specific
AFF4	Human cytomegalovirus,Human immunodeficiency virus 1,Influenza A virus (H1N1),Zika virus	4	Specific
AFG3L2	Dengue virus 2,Hepatitis C virus,Human papillomavirus 11,Human papillomavirus 6b,Human respiratory syncytial virus,Influenza A virus (H1N1),Influenza A virus (H3N2),Measles virus 	8	Specific
AFP	Hepatitis C virus,Human cytomegalovirus	2	Specific
AGAP1	Human papillomavirus 31	1	Specific
AGAP3	Human cytomegalovirus,Human papillomavirus 31,Kaposi's sarcoma-associated herpesvirus,Zika virus	4	Specific
AGBL3	Influenza A virus (H1N1)	1	Specific
AGBL5	Human papillomavirus 32	1	Specific
AGFG1	Equine infectious anemia virus,Human immunodeficiency virus 1,Human T-cell leukemia virus 1	3	Specific
AGGF1	Dengue virus 2,Hepatitis C virus	2	Specific
AGK	Dengue virus 2,Epstein-Barr virus,Human papillomavirus 6b,Influenza A virus (H1N1),Influenza A virus (H3N2),Measles virus ,MERS-CoV,Zika virus	8	Specific
AGL	Influenza A virus (H1N1)	1	Specific
AGMAT	SARS-CoV-1,SARS-CoV-2	2	Specific
AGO1	Influenza A virus (H3N2)	1	Specific
AGO2	Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	2	Specific
AGPAT1	Human enterovirus 71	1	Specific
AGPAT3	Hepatitis delta virus,SARS-CoV-2	2	Specific
AGPAT5	Dengue virus 2,Influenza A virus (H1N1),Zika virus	3	Specific
AGPS	Human immunodeficiency virus 1,Human respiratory syncytial virus,Influenza A virus (H1N1),SARS-CoV-2	4	Specific
AGR2	Epstein-Barr virus	1	Specific
AGRN	Hepatitis C virus,Human papillomavirus 8	2	Specific
AGT	Hepatitis C virus	1	Specific
AGTRAP	Human papillomavirus 39,Influenza A virus (H1N1),Influenza A virus (H5N1)	3	Specific
AHCTF1	Human cytomegalovirus,Human immunodeficiency virus 1	2	Specific
AHCY	Human immunodeficiency virus 1,Influenza A virus (H1N1),La Crosse virus,Lymphocytic choriomeningitis virus	4	Specific
AHCYL1	Epstein-Barr virus,Human herpesvirus 1,Human immunodeficiency virus 1,Zika virus	4	Specific
AHCYL2	Human immunodeficiency virus 1,Zika virus	2	Specific
AHNAK	Hepatitis C virus,Human immunodeficiency virus 1,Human papillomavirus 16,Influenza A virus (H1N1),Kappapapillomavirus 2,Lymphocytic choriomeningitis virus	6	Specific
AHNAK2	Influenza A virus (H1N1),Lymphocytic choriomeningitis virus,Vaccinia virus	3	Specific
AHR	Epstein-Barr virus,Human cytomegalovirus,Human immunodeficiency virus 1,SARS-CoV-1	4	Specific
AHSA1	Human papillomavirus 1a,Influenza A virus (H1N1),Vesicular stomatitis virus	3	Specific
AICDA	Hepatitis B virus,Human immunodeficiency virus 1	2	Specific
AIDA	Human papillomavirus 16,Human papillomavirus 1a,Human papillomavirus 3,Human papillomavirus 33,Human papillomavirus 5,Human papillomavirus 6,Human papillomavirus 8,Human papillomavirus 9	8	Specific
AIFM1	Dengue virus 2,Ebola virus,Epstein-Barr virus,Human immunodeficiency virus 1,Human papillomavirus 31,Human papillomavirus 6b,Human respiratory syncytial virus,Influenza A virus (H1N1),La Crosse virus,Lymphocytic choriomeningitis virus,Measles virus ,Zika virus	12	Specific
AIFM2	Influenza A virus (H1N1)	1	Specific
AIMP1	Ebola virus,Hepatitis C virus,Human immunodeficiency virus 1,Influenza A virus (H1N1)	4	Specific
AIMP2	Epstein-Barr virus,Human immunodeficiency virus 1,Human papillomavirus 16,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H4N6),Influenza A virus (H5N1)	7	Specific
AIP	Epstein-Barr virus,Hepatitis B virus,Merkel cell polyomavirus	3	Specific
