Gene	Virus	Virus_num	Virally_targeted
GABPB2	Human papillomavirus 8	1	Specific
GABRA2	Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 1a,Human papillomavirus 32,Human papillomavirus 33,Human papillomavirus 5,Human papillomavirus 6,Human papillomavirus 8,Human papillomavirus 9	9	Specific
GABRA3	Human herpesvirus 1	1	Specific
GABRQ	Macaca mulatta polyomavirus 1	1	Specific
GADD45GIP1	Dengue virus 2,Ebola virus,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 8,Human T-cell leukemia virus 2,Influenza A virus (H1N1),Influenza A virus (H3N2),Zika virus	9	Specific
GAK	Human immunodeficiency virus 1	1	Specific
GAL3ST1	SARS-CoV-1,SARS-CoV-2	2	Specific
GALC	Hepatitis B virus	1	Specific
GALE	Human papillomavirus 18	1	Specific
GALK1	Hepatitis C virus,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),SARS-CoV-2	5	Specific
GALNT1	Epstein-Barr virus,Human papillomavirus 18	2	Specific
GALNT12	SARS-CoV-1,SARS-CoV-2,Zika virus	3	Specific
GALNT2	Dengue virus 2,Human papillomavirus 6b,Kaposi's sarcoma-associated herpesvirus,MERS-CoV,SARS-CoV-2	5	Specific
GALNT5	Epstein-Barr virus,Human papillomavirus 11,Human papillomavirus 32,Human papillomavirus 6,Human papillomavirus 6b,Human papillomavirus 8,Human papillomavirus 9	7	Specific
GALNT6	Human papillomavirus 11	1	Specific
GALNT7	Human cytomegalovirus,Zika virus	2	Specific
GANAB	Ebola virus,Hepatitis C virus,Human cytomegalovirus,Human immunodeficiency virus 1,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,Measles virus 	7	Specific
GAPDH	Epstein-Barr virus,Hendra virus,Hepatitis C virus,Human cytomegalovirus,Human herpesvirus 1,Human immunodeficiency virus 1,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 1a,Human papillomavirus 3,Human papillomavirus 33,Human papillomavirus 39,Human papillomavirus 5,Human papillomavirus 8,Human papillomavirus 9,Influenza A virus (H1N1),Lymphocytic choriomeningitis virus	17	Pan
GAR1	Influenza A virus (H1N1)	1	Specific
GARS	MERS-CoV	1	Specific
GARS1	Influenza A virus (H1N1)	1	Specific
GART	Ebola virus,Hepatitis C virus,Human immunodeficiency virus 1,Influenza A virus (H1N1)	4	Specific
GAS6	Epstein-Barr virus,Human papillomavirus 11,Human papillomavirus 18,Human papillomavirus 6b	4	Specific
GATA6	Human papillomavirus 31,SARS-CoV-1	2	Specific
GATAD1	Human cytomegalovirus	1	Specific
GATAD2A	Ebola virus,Hepatitis C virus,Human cytomegalovirus,Human immunodeficiency virus 1,Influenza A virus (H1N1),Measles virus 	6	Specific
GATAD2B	Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 16,Human papillomavirus 5,Lymphocytic choriomeningitis virus	5	Specific
GATC	Hepatitis C virus	1	Specific
GATD3A	Human cytomegalovirus	1	Specific
GATM	Hepatitis C virus	1	Specific
GBE1	Hepatitis E virus	1	Specific
GBF1	Dengue virus 2,Epstein-Barr virus,Influenza A virus (H1N1),Poliovirus type 1,SARS-CoV-2,Uukuniemi virus	6	Specific
GBP1	Human cytomegalovirus,Human immunodeficiency virus 2	2	Specific
GBP2	Hepatitis C virus	1	Specific
GBP5	Influenza A virus (H1N1)	1	Specific
GBP6	Influenza A virus (H1N1)	1	Specific
GC	Dengue virus 2	1	Specific
GCA	Epstein-Barr virus	1	Specific
GCAT	Human cytomegalovirus	1	Specific
GCC1	Hepatitis C virus,Human T-cell leukemia virus 2,Influenza A virus (H1N1),SARS-CoV-2	4	Specific
GCC2	MERS-CoV,SARS-CoV-2	2	Specific
GCDH	Dengue virus 2,Influenza A virus (H1N1),Measles virus 	3	Specific
GCHFR	Epstein-Barr virus,Influenza A virus (H3N2)	2	Specific
GCLC	SARS-CoV-2	1	Specific
GCN1	Dengue virus 2,Epstein-Barr virus,Human immunodeficiency virus 1,Human papillomavirus 18,Human papillomavirus 31,Human papillomavirus 6b,Human respiratory syncytial virus,Influenza A virus (H1N1),Measles virus ,MERS-CoV,Rubella virus,SARS-CoV-1,SARS-CoV-2	13	Specific
GCNT3	SARS-CoV-2	1	Specific
GCSH	Hepatitis C virus,Human cytomegalovirus	2	Specific
GDA	Human cytomegalovirus	1	Specific
GDAP1	Dengue virus 2,Human papillomavirus 11	2	Specific
GDF15	SARS-CoV-2	1	Specific
GDI1	Influenza A virus (H1N1)	1	Specific
GDI2	Dengue virus 2,Human cytomegalovirus,Human papillomavirus 16,Influenza A virus (H1N1)	4	Specific
GDPD1	Human respiratory syncytial virus,MERS-CoV	2	Specific
GEM	Human papillomavirus 8	1	Specific
GEMIN2	Human immunodeficiency virus 1,Influenza A virus (H1N1)	2	Specific
GEMIN4	Hepatitis C virus,Human cytomegalovirus,Human immunodeficiency virus 1,Influenza A virus (H1N1)	4	Specific
GEMIN5	Human immunodeficiency virus 1,Influenza A virus (H1N1)	2	Specific
GEMIN6	HCoV-229E,Human immunodeficiency virus 1,Influenza A virus (H1N1),Zika virus	4	Specific
GEMIN7	Hepatitis C virus,Human immunodeficiency virus 1,Human papillomavirus 18,Influenza A virus (H1N1)	4	Specific
GEMIN8	HCoV-229E,Influenza A virus (H1N1)	2	Specific
GET3	Human cytomegalovirus	1	Specific
GET4	Epstein-Barr virus,Hepatitis C virus,Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 31,SARS-CoV-1	6	Specific
GFAP	Hepatitis C virus,Influenza A virus (H1N1)	2	Specific
GFER	SARS-CoV-2	1	Specific
GFM1	Human cytomegalovirus,Influenza A virus (H1N1),SARS-CoV-1	3	Specific
GFPT1	Epstein-Barr virus,Human papillomavirus 8,Influenza A virus (H1N1)	3	Specific
GFPT2	Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	2	Specific
GGA1	Dengue virus 2,Human papillomavirus 18,Human papillomavirus 1a,Human papillomavirus 3,Human papillomavirus 32,Human papillomavirus 33,Human papillomavirus 5,Human papillomavirus 8,Human papillomavirus 9,Kunjin virus 	10	Specific
GGA2	Murid herpesvirus 4	1	Specific
GGA3	Influenza A virus (H1N1)	1	Specific
GGCX	Epstein-Barr virus,Hepatitis C virus,Human papillomavirus 6b,Influenza A virus (H1N1),SARS-CoV-1,SARS-CoV-2	6	Specific
GGH	SARS-CoV-2	1	Specific
GGT2	Human cytomegalovirus	1	Specific
GGT7	Epstein-Barr virus,Human cytomegalovirus,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 6b,Influenza A virus (H1N1),Influenza A virus (H3N2),SARS-CoV-1	9	Specific
GHDC	Human cytomegalovirus,SARS-CoV-1,Zika virus	3	Specific
GHITM	Hepatitis delta virus,Human cytomegalovirus,SARS-CoV-2	3	Specific
GID4	Human cytomegalovirus,Kaposi's sarcoma-associated herpesvirus	2	Specific
GID8	Human cytomegalovirus,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,Measles virus ,SARS-CoV-1	5	Specific
GIGYF1	Human cytomegalovirus,Measles virus 	2	Specific
GIGYF2	Human immunodeficiency virus 1,MERS-CoV,SARS-CoV-1,SARS-CoV-2	4	Specific
GIMAP1	Human immunodeficiency virus 1,Influenza A virus (H1N1)	2	Specific
GIMAP2	Hepatitis delta virus	1	Specific
GIMAP5	Human immunodeficiency virus 1	1	Specific
GIMAP8	Influenza A virus (H1N1)	1	Specific
GIN1	Hepatitis C virus	1	Specific
GINM1	HCoV-NL63,SARS-CoV-1,SARS-CoV-2	3	Specific
GIPC1	Human cytomegalovirus,Human papillomavirus 18,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),Influenza A virus (H7N7),SARS-CoV-1	7	Specific
GIT1	Human cytomegalovirus	1	Specific
GJA1	Epstein-Barr virus,Human adenovirus C,Human cytomegalovirus,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 31,Human papillomavirus 6b,Human papillomavirus 8,SARS-CoV-2	10	Specific
GJA3	Hepatitis delta virus	1	Specific
GJA5	Human herpesvirus 1	1	Specific
GJB2	Hepatitis delta virus,Influenza A virus (H1N1)	2	Specific
GJB5	Human papillomavirus 33,Human papillomavirus 39	2	Specific
GK	Human cytomegalovirus	1	Specific
GKAP1	Human cytomegalovirus,Human herpesvirus 1,Human papillomavirus 31,Murid herpesvirus 4	4	Specific
GKN1	Human herpesvirus 1	1	Specific
GLA	Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,SARS-CoV-1,SARS-CoV-2	4	Specific
GLB1	Kaposi's sarcoma-associated herpesvirus,Macaca mulatta polyomavirus 1	2	Specific
GLCE	SARS-CoV-1,SARS-CoV-2,Zika virus	3	Specific
GLDC	Hepatitis C virus	1	Specific
GLE1	Influenza A virus (H1N1)	1	Specific
GLG1	Epstein-Barr virus,Human immunodeficiency virus 1,Human papillomavirus 6b,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	5	Specific
GLI2	Human cytomegalovirus	1	Specific
GLI4	Kaposi's sarcoma-associated herpesvirus	1	Specific
GLIPR1	Epstein-Barr virus,Human adenovirus C,Human papillomavirus 11,Human papillomavirus 18,Human papillomavirus 6b,Macaca mulatta polyomavirus 1	6	Specific
GLIPR2	Epstein-Barr virus,Hepatitis C virus,Human adenovirus C,Human polyomavirus 1,Macaca mulatta polyomavirus 1	5	Specific
GLMN	HCoV-229E,Human papillomavirus 31,Influenza A virus (H1N1)	3	Specific
GLO1	SARS-CoV-1,SARS-CoV-2	2	Specific
GLOD4	Human cytomegalovirus	1	Specific
GLRB	Human papillomavirus 11	1	Specific
GLRX	Human cytomegalovirus	1	Specific
GLRX3	Hepatitis C virus,Human cytomegalovirus,Influenza A virus (H1N1)	3	Specific
GLRX5	Hepatitis C virus	1	Specific
GLT8D1	Human cytomegalovirus,Influenza A virus (H3N2),SARS-CoV-2,Zika virus	4	Specific
GLTP	Measles virus 	1	Specific
GLUD1	Epstein-Barr virus,Human respiratory syncytial virus,Influenza A virus (H1N1),Measles virus 	4	Specific
GLUL	Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1)	3	Specific
GLYAT	Influenza A virus (H1N1)	1	Specific
GLYCTK	Human papillomavirus 33,Human papillomavirus 8	2	Specific
GLYR1	Dengue virus 2,Hepatitis C virus,Human herpesvirus 1,Human papillomavirus 5,Human papillomavirus 8,Influenza A virus (H1N1),Influenza A virus (H5N1),Influenza A virus (H9N2),SARS-CoV-2,Zika virus	10	Specific
GM2A	Human papillomavirus 8	1	Specific
GMCL1	Epstein-Barr virus,Human papillomavirus 11,Influenza A virus (H1N1),Influenza A virus (H3N2)	4	Specific
GMDS	Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	2	Specific
GMEB1	Human cytomegalovirus,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),Influenza A virus (H7N7)	5	Specific
GMEB2	Human cytomegalovirus	1	Specific
GMPPA	Human herpesvirus 1	1	Specific
GMPR2	Human cytomegalovirus	1	Specific
GMPS	Epstein-Barr virus	1	Specific
GNA11	Human cytomegalovirus,Human herpesvirus 1	2	Specific
GNA13	Human cytomegalovirus,SARS-CoV-1,SARS-CoV-2	3	Specific
GNAI2	Human immunodeficiency virus 1,Human papillomavirus 8,Influenza A virus (H1N1)	3	Specific
GNAI3	Hepatitis C virus,Influenza A virus (H1N1),Lymphocytic choriomeningitis virus,Zika virus	4	Specific
GNAL	SARS-CoV-1	1	Specific
GNAO1	Human immunodeficiency virus 1	1	Specific
GNAQ	SARS-CoV-2	1	Specific
GNAS	Human cytomegalovirus,Influenza A virus (H1N1)	2	Specific
GNAT3	Influenza A virus (H1N1)	1	Specific
GNAZ	Rubella virus	1	Specific
GNB1	Human adenovirus C,Influenza A virus (H1N1),Lymphocytic choriomeningitis virus,SARS-CoV-2	4	Specific
GNB2	Bovine leukemia virus,Ebola virus,Hepatitis C virus,Hepatitis E virus,Human papillomavirus 11,Human papillomavirus 16,Influenza A virus (H1N1)	7	Specific
GNB3	Influenza A virus (H1N1),Measles virus 	2	Specific
GNB4	Influenza A virus (H1N1)	1	Specific
GNB5	Hepatitis B virus	1	Specific
GNG2	Epstein-Barr virus,Human adenovirus C	2	Specific
GNG5	Influenza A virus (H1N1),SARS-CoV-2	2	Specific
GNG7	Human herpesvirus 1	1	Specific
GNL1	Human cytomegalovirus	1	Specific
GNL2	Ebola virus,Human papillomavirus 31,Influenza A virus (H1N1),MERS-CoV,Zika virus	5	Specific
GNL3	Classical swine fever virus,Dengue virus 2,Ebola virus,Human cytomegalovirus,Human immunodeficiency virus 1,Influenza A virus (H1N1),Influenza A virus (H3N2)	7	Specific
GNL3L	Influenza A virus (H1N1)	1	Specific
GNPAT	Human respiratory syncytial virus,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,SARS-CoV-1	4	Specific
GNPDA2	Human cytomegalovirus	1	Specific
GNPTAB	Epstein-Barr virus,Human cytomegalovirus	2	Specific
GNPTG	Epstein-Barr virus	1	Specific
GNS	Epstein-Barr virus	1	Specific
GOLGA1	Human immunodeficiency virus 1	1	Specific
GOLGA2	Dengue virus 2,Epstein-Barr virus,Hepatitis C virus,Human herpesvirus 1,Human respiratory syncytial virus,Influenza A virus (H3N2),MERS-CoV,Murid herpesvirus 4,Sandfly fever sicilian virus,SARS-CoV-1,SARS-CoV-2,Vaccinia virus	12	Specific
GOLGA3	MERS-CoV,SARS-CoV-1,SARS-CoV-2	3	Specific
GOLGA4	Human cytomegalovirus,Influenza A virus (H1N1)	2	Specific
GOLGA5	SARS-CoV-1,SARS-CoV-2	2	Specific
GOLGA6L10	Dengue virus 2	1	Specific
GOLGA7	SARS-CoV-1,SARS-CoV-2	2	Specific
GOLGA8O	Dengue virus 2	1	Specific
GOLGB1	Dengue virus 1,Dengue virus 2,Dengue virus 3,Dengue virus 4,Hepatitis E virus,Murid herpesvirus 4,SARS-CoV-1,SARS-CoV-2	8	Specific
GOLIM4	SARS-CoV-1,SARS-CoV-2	2	Specific
GOLM1	SARS-CoV-1,SARS-CoV-2	2	Specific
GOLPH3	Human cytomegalovirus,Human immunodeficiency virus 1,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,Uukuniemi virus,Zika virus	6	Specific
GOLPH3L	Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,Uukuniemi virus	3	Specific
GOLT1B	Dengue virus 2,Human cytomegalovirus,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 6b,Kaposi's sarcoma-associated herpesvirus,Zika virus	7	Specific
GON4L	Hepatitis C virus	1	Specific
GOPC	Alkhumra hemorrhagic fever virus,Hepatitis C virus,Human cytomegalovirus,Human herpesvirus 1,Human papillomavirus 16,Human papillomavirus 18,Human T-cell leukemia virus 1,Influenza A virus (H1N1),Influenza A virus (H7N7),Measles virus ,Tick-borne encephalitis virus	11	Specific
GORASP1	SARS-CoV-1,SARS-CoV-2	2	Specific
GORASP2	Hepatitis C virus,SARS-CoV-1,SARS-CoV-2	3	Specific
GOSR1	Kaposi's sarcoma-associated herpesvirus,SARS-CoV-1,SARS-CoV-2,Zika virus	4	Specific
GOSR2	SARS-CoV-1,SARS-CoV-2,Zika virus	3	Specific
GOT2	Human papillomavirus 18,Human papillomavirus 1a,Human papillomavirus 3,Human papillomavirus 33,Human papillomavirus 8	5	Specific
GP9	Human herpesvirus 1	1	Specific
GPAA1	Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 6b,SARS-CoV-2	6	Specific
GPALPP1	Zika virus	1	Specific
GPANK1	Human papillomavirus 33,Influenza A virus (H3N2)	2	Specific
GPAT3	Dengue virus 2,Influenza A virus (H1N1)	2	Specific
GPAT4	Dengue virus 2,Epstein-Barr virus,Human papillomavirus 6b,Human respiratory syncytial virus,SARS-CoV-1,SARS-CoV-2,Zika virus	7	Specific
GPATCH1	Human cytomegalovirus,Zika virus	2	Specific
GPATCH11	Human cytomegalovirus,Zika virus	2	Specific
GPATCH2L	Alkhumra hemorrhagic fever virus,Zika virus	2	Specific
GPATCH4	Human immunodeficiency virus 1	1	Specific
GPATCH8	Human cytomegalovirus,Influenza A virus (H3N2),Zika virus	3	Specific
GPBP1	Zika virus	1	Specific
GPBP1L1	Human cytomegalovirus,Zika virus	2	Specific
GPC1	Human cytomegalovirus,Human papillomavirus 11	2	Specific
GPC4	Kaposi's sarcoma-associated herpesvirus	1	Specific
GPC6	Influenza A virus (H1N1)	1	Specific
GPD1L	Influenza A virus (H1N1)	1	Specific
GPD2	Epstein-Barr virus,Human papillomavirus 6b,Influenza A virus (H1N1),SARS-CoV-1,SARS-CoV-2	5	Specific
GPHN	MERS-CoV	1	Specific
GPI	Influenza A virus (H1N1)	1	Specific
GPKOW	Dengue virus 2	1	Specific
GPM6A	Human immunodeficiency virus 1	1	Specific
GPM6B	Human immunodeficiency virus 1	1	Specific
GPN1	Human immunodeficiency virus 1,Human papillomavirus 9,Influenza A virus (H1N1),Influenza A virus (H5N1)	4	Specific
GPN3	Human cytomegalovirus,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	3	Specific
GPR1	Rubella virus	1	Specific
GPR107	Zika virus	1	Specific
GPR162	Macaca mulatta polyomavirus 1	1	Specific
GPR176	Human papillomavirus 18,Human papillomavirus 6b	2	Specific
GPR180	Human cytomegalovirus	1	Specific
GPR27	Rubella virus	1	Specific
GPR37	SARS-CoV-2	1	Specific
GPR39	SARS-CoV-1,SARS-CoV-2	2	Specific
GPR4	Macaca mulatta polyomavirus 1	1	Specific
GPR62	Rubella virus	1	Specific
GPR87	Human papillomavirus 5,Human papillomavirus 8	2	Specific
GPR89A	Human cytomegalovirus,Influenza A virus (H3N2)	2	Specific
GPR89B	Dengue virus 2	1	Specific
GPRASP1	Ebola virus,Epstein-Barr virus,Influenza A virus (H3N2),Zika virus	4	Specific
GPRASP2	Epstein-Barr virus,Human papillomavirus 31,Influenza A virus (H1N1),MERS-CoV	4	Specific
GPRC5A	Human papillomavirus 5	1	Specific
GPRC5B	Human papillomavirus 18	1	Specific
GPRC5C	Hepatitis E virus,Influenza A virus (H1N1)	2	Specific
GPS1	Human cytomegalovirus,Human immunodeficiency virus 1,Influenza A virus (H1N1)	3	Specific
GPS2	Deltapapillomavirus 4,Hepatitis C virus,Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 1a,Human papillomavirus 3,Human papillomavirus 33,Human papillomavirus 39,Human papillomavirus 5,Human papillomavirus 6b,Human papillomavirus 8,Human papillomavirus 9,Human T-cell leukemia virus 1,Influenza A virus (H1N1),Influenza A virus (H5N1),Vaccinia virus	19	Pan
GPSM1	Human cytomegalovirus	1	Specific
GPX1	Human papillomavirus 1a,Human papillomavirus 39,SARS-CoV-1,SARS-CoV-2	4	Specific
GPX2	Human papillomavirus 1a,Human papillomavirus 5	2	Specific
GPX4	Kaposi's sarcoma-associated herpesvirus	1	Specific
GPX7	Human immunodeficiency virus 1	1	Specific
GPX8	Epstein-Barr virus,Human adenovirus C,Human cytomegalovirus,Human papillomavirus 11,Human papillomavirus 18,Human papillomavirus 6b,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,SARS-CoV-2	9	Specific
GRAMD1A	Human papillomavirus 11,Human papillomavirus 6b	2	Specific
GRAMD1C	Human cytomegalovirus	1	Specific
GRAMD2B	Human cytomegalovirus,Human papillomavirus 11,Human papillomavirus 6b	3	Specific
GRB2	Hepatitis C virus,Hepatitis E virus,Human cytomegalovirus,Human immunodeficiency virus 1,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	6	Specific
GREB1	Hepatitis C virus	1	Specific
GREM1	Epstein-Barr virus,Human papillomavirus 11,Human papillomavirus 6b	3	Specific
GRIN2A	Influenza A virus (H1N1),Influenza A virus (H3N2)	2	Specific
GRINA	Murid herpesvirus 4	1	Specific
GRIPAP1	Murid herpesvirus 4,SARS-CoV-2	2	Specific
GRK4	Influenza A virus (H1N1)	1	Specific
GRK6	Human papillomavirus 31	1	Specific
GRM4	Dengue virus 2	1	Specific
GRM6	Influenza A virus (H3N2)	1	Specific
GRN	Alkhumra hemorrhagic fever virus,Chikungunya virus,Ebola virus,Epstein-Barr virus,Hepatitis C virus,Human enterovirus 71,Human immunodeficiency virus 1,Human immunodeficiency virus 2,Influenza A virus (H1N1),Tick-borne encephalitis virus	10	Specific
GRPEL1	Epstein-Barr virus,Human cytomegalovirus,Human herpesvirus 1,Influenza A virus (H1N1),Influenza A virus (H5N1),SARS-CoV-2	6	Specific
GRSF1	Dengue virus 2,Ebola virus,Human cytomegalovirus,Influenza A virus (H1N1)	4	Specific
GRWD1	Dengue virus 2,Influenza A virus (H1N1),Zika virus	3	Specific
GSG1	Hepatitis delta virus	1	Specific
GSK3A	Human cytomegalovirus,SARS-CoV-1,SARS-CoV-2	3	Specific
GSK3B	Human cytomegalovirus	1	Specific
GSN	Human papillomavirus 16,Human T-cell leukemia virus 1,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),Influenza A virus (H9N2),SARS-CoV-1	7	Specific
GSPT1	Epstein-Barr virus,Kaposi's sarcoma-associated herpesvirus,MERS-CoV	3	Specific
GSPT2	Influenza A virus (H1N1),SARS-CoV-2	2	Specific
GSTA4	Epstein-Barr virus	1	Specific
GSTK1	Human papillomavirus 16,Human papillomavirus 18	2	Specific
GSTM1	Human cytomegalovirus	1	Specific
GSTM2	Classical swine fever virus	1	Specific
GSTO1	Human papillomavirus 5	1	Specific
GSTO2	Human papillomavirus 18	1	Specific
GSTP1	Classical swine fever virus	1	Specific
GTF2A1	Human T-cell leukemia virus 1	1	Specific
GTF2B	Deltapapillomavirus 4,Epstein-Barr virus,Equid alphaherpesvirus 1,Equine herpesvirus 1,Hepatitis B virus,Human immunodeficiency virus 1,Human papillomavirus 16,Macaca mulatta polyomavirus 1,Thogoto virus	9	Specific
GTF2E1	Epstein-Barr virus,Human immunodeficiency virus 1	2	Specific
GTF2E2	Epstein-Barr virus,Equine arteritis virus,Human cytomegalovirus,Human immunodeficiency virus 1	4	Specific
GTF2F1	Human immunodeficiency virus 1	1	Specific
GTF2F2	Human immunodeficiency virus 1,Human polyomavirus (type JC),SARS-CoV-1,SARS-CoV-2	4	Specific
GTF2H1	Human cytomegalovirus,Human immunodeficiency virus 1	2	Specific
GTF2H2	Rift Valley fever phlebovirus,Rift valley fever virus	2	Specific
GTF2H4	Epstein-Barr virus	1	Specific
GTF2I	Human papillomavirus 31,Influenza A virus (H1N1),Influenza A virus (H3N2),Kaposi's sarcoma-associated herpesvirus,La Crosse virus	5	Specific
GTF3C1	Ebola virus,Human cytomegalovirus,Influenza A virus (H1N1),Influenza A virus (H3N2),Kaposi's sarcoma-associated herpesvirus,Measles virus ,Merkel cell polyomavirus	7	Specific
GTF3C2	Kaposi's sarcoma-associated herpesvirus,Zika virus	2	Specific
GTF3C3	Ebola virus,Influenza A virus (H1N1),Measles virus ,Vaccinia virus	4	Specific
GTF3C4	Human immunodeficiency virus 1,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	3	Specific
GTF3C5	Dengue virus 2,Ebola virus,Human immunodeficiency virus 1,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,Measles virus 	6	Specific
GTF3C6	Measles virus 	1	Specific
GTPBP1	Kaposi's sarcoma-associated herpesvirus	1	Specific
GTPBP10	Human papillomavirus 8,Kaposi's sarcoma-associated herpesvirus	2	Specific
GTPBP4	Dengue virus 1,Dengue virus 2,Dengue virus 4,Ebola virus,Human immunodeficiency virus 1,Influenza A virus (H1N1),Recombinant Hepatitis C virus,Zika virus	8	Specific
GTPBP6	Human papillomavirus 39	1	Specific
GTSE1	MERS-CoV	1	Specific
GUCA2A	Human immunodeficiency virus 1	1	Specific
GUCY2D	Influenza A virus (H3N2)	1	Specific
GUF1	Hepatitis C virus,SARS-CoV-2	2	Specific
GUK1	Human herpesvirus 1	1	Specific
GULP1	Human cytomegalovirus	1	Specific
GUSB	Human cytomegalovirus,SARS-CoV-2	2	Specific
GYPB	Human herpesvirus 1	1	Specific
GYPC	Human cytomegalovirus	1	Specific
GYS1	Human papillomavirus 1a,Human papillomavirus 8,Zika virus	3	Specific
GZMB	Human adenovirus C	1	Specific
H1-0	Ebola virus,Human papillomavirus 11,Human papillomavirus 6b,Influenza A virus (H1N1),Macaca mulatta polyomavirus 1	5	Specific
H1-1	Bovine viral diarrhea virus 1,Bovine viral diarrhea virus 2,Hendra virus,Human papillomavirus 31,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),Macaca mulatta polyomavirus 1,Newcastle disease virus,Nipah virus,Thogoto virus,Vaccinia virus	12	Specific
H1-10	Epstein-Barr virus,Human cytomegalovirus,Human herpesvirus 1,Influenza A virus (H1N1),Influenza A virus (H3N2),Lymphocytic choriomeningitis virus,Zika virus	7	Specific
H1-2	Human immunodeficiency virus 1,Influenza A virus (H1N1)	2	Specific
H1-3	Epstein-Barr virus,Influenza A virus (H1N1)	2	Specific
H1-4	Ebola virus,Influenza A virus (H1N1)	2	Specific
H1-5	Influenza A virus (H1N1),Lymphocytic choriomeningitis virus,Recombinant Hepatitis C virus	3	Specific
H1-6	Bovine viral diarrhea virus 1,Bovine viral diarrhea virus 2,Hendra virus,Human immunodeficiency virus 1,Human papillomavirus 31,Influenza A virus (H1N1),Influenza A virus (H3N2),Macaca mulatta polyomavirus 1,Newcastle disease virus,Nipah virus,Thogoto virus,Vaccinia virus	12	Specific
H2AC1	Epstein-Barr virus,Influenza A virus (H1N1)	2	Specific
H2AC12	Ebola virus,Hendra virus,Hepatitis C virus,Human herpesvirus 1,Human parainfluenza virus 2,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),Nipah virus,Porcine rotavirus,Vaccinia virus	11	Specific
H2AC14	Ebola virus,Hendra virus,Hepatitis C virus,Human herpesvirus 1,Human parainfluenza virus 2,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),Nipah virus,Porcine rotavirus,Vaccinia virus	11	Specific
H2AC20	Ebola virus,Hendra virus,Hepatitis C virus,Human herpesvirus 1,Human parainfluenza virus 2,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),Nipah virus,Porcine rotavirus,Vaccinia virus	11	Specific
H2AC21	Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	2	Specific
H2AC4	Epstein-Barr virus	1	Specific
H2AC6	Ebola virus,Hendra virus,Hepatitis C virus,Human herpesvirus 1,Human parainfluenza virus 2,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),Kaposi's sarcoma-associated herpesvirus,Nipah virus,Porcine rotavirus,Vaccinia virus	12	Specific
H2AC7	Ebola virus,Hendra virus,Hepatitis C virus,Human herpesvirus 1,Human parainfluenza virus 2,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),Nipah virus,Porcine rotavirus,Rubella virus,Vaccinia virus	12	Specific
H2AJ	Ebola virus,Hendra virus,Hepatitis C virus,Human herpesvirus 1,Human immunodeficiency virus 1,Human parainfluenza virus 2,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),Nipah virus,Porcine rotavirus,Vaccinia virus	12	Specific
