Gene	Virus	Abbre	Baltimore	Family
GNPDA2	Human cytomegalovirus	HCMV	dsDNA	Herpesviridae
POLR2E	Human cytomegalovirus	HCMV	dsDNA	Herpesviridae
MYH6	Human cytomegalovirus	HCMV	dsDNA	Herpesviridae
RCBTB2	Human cytomegalovirus	HCMV	dsDNA	Herpesviridae
LRPAP1	Human cytomegalovirus	HCMV	dsDNA	Herpesviridae
ATG7	Human cytomegalovirus	HCMV	dsDNA	Herpesviridae
BEST2	Human cytomegalovirus	HCMV	dsDNA	Herpesviridae
MPO	Human cytomegalovirus	HCMV	dsDNA	Herpesviridae
IRF3	Human cytomegalovirus	HCMV	dsDNA	Herpesviridae
ATE1	Human cytomegalovirus	HCMV	dsDNA	Herpesviridae
POLR2B	Human cytomegalovirus	HCMV	dsDNA	Herpesviridae
YIPF2	Human cytomegalovirus	HCMV	dsDNA	Herpesviridae
HERC1	Human cytomegalovirus	HCMV	dsDNA	Herpesviridae
COPS5	Human cytomegalovirus	HCMV	dsDNA	Herpesviridae
POLR2A	Human cytomegalovirus	HCMV	dsDNA	Herpesviridae
NCOR2	Human cytomegalovirus	HCMV	dsDNA	Herpesviridae
ITGA2	Human cytomegalovirus	HCMV	dsDNA	Herpesviridae
TMEM9	Human cytomegalovirus	HCMV	dsDNA	Herpesviridae
ARHGAP10	Human cytomegalovirus	HCMV	dsDNA	Herpesviridae
TANK	Human cytomegalovirus	HCMV	dsDNA	Herpesviridae
CCDC172	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PPIA	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
GJA5	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PLSCR1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
ZDHHC7	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
KRTAP4-12	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL36A	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
MCRS1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
KCTD4	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
DNAJC16	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
VPS37B	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
ZBED1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
CSNK1D	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
NUDT3	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
COMMD4	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
EIF5A	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL32	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
TSPO	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL36AL	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPS28	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PML	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
JTB	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
TMEM182	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
BOLL	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
EWSR1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
ING5	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
MRPL24	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
NME1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
FGFBP1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
ORM2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
LDHA	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
GNG7	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
HPGDS	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL10A	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RAD50	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RUVBL1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
MTUS2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
HBG2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
ZC2HC1A	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
IFIH1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
TSPYL1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
IFI27L1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
EIF4G1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
KRT33B	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SH3GL2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
TNFRSF14	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
NUSAP1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPS15A	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
GMPPA	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL37A	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
TUBA1C	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
NCOA5	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
IKBKG	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
HCFC1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
ACTA2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
UBE2E1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
YES1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
C1orf94	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
ACTG2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
NECTIN1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SYNJ2BP	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
DPPA4	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PIM2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
USP15	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
USHBP1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SMARCA2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL30	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
LDLRAP1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
USP9X	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SCRIB	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
DPY30	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PPL	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
TRAF4	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SPEG	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
VASH1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
CTSD	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
POU2AF1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RANBP10	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
ZSCAN21	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
TUBA1A	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
TAB2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
MRAS	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PRKDC	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
UBE2D1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
TMEM254	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
POTEF	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
H4C1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PRPF19	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPS11	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SCG5	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPS12	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PCDHGC5	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PCNP	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
IFITM1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PRR22	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PREPL	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RDH11	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
ACP1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
TPSAB1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
POTEE	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL36	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RIPK3	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
XRCC6	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL28	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SF3B4	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL3	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
DRAM1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
USP7	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RBM45	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SSNA1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
EIF3F	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
CCT2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
ARID3A	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
GOPC	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
MED25	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
HSPA8	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PLSCR3	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
NFKB1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
FYN	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL4	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPS27	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
HMGN1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
HOXA10	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
INSIG1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
HSPBP1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
IKZF3	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL27	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SERPINF1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
CCDC33	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
KCNE3	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
KRT6B	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PIMREG	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
HCN3	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
IL17RA	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
POLR1D	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PLIN2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SMARCC2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
ZNF446	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
ATP6V1C2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
ANK2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL26L1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SCNM1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SUPT16H	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
XRCC4	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
TMEM167A	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
S100A7	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SPEF1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RIPK1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
NR2C2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
TAB1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SPINK6	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SUMO3	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL9	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
FLNB	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
MCCC1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
UNC119	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL35A	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
HGF	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PILRA	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPS27L	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
CTBP1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
KAT7	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
GLYR1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPS10	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
DCAF8	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
TRAF2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
MAP2K1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
S100A16	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
CCND3	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RHEB	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
MEIS2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SPIN3	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
OPRM1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL13A	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PLA2G2A	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PACC1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL18A	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPLP1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SAA1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
APPBP2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
TSPOAP1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL26	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RAB6B	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPS14	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL27A	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SMARCE1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
CCL19	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
NONO	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
CCNK	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PRPF38B	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
CREBL2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
DEFB1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL31	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
DDX21	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
TNFSF14	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
CCDC36	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
C1QBP	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
NDUFV3	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SLC16A10	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
STX11	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
OLAH	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
NPM1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
NUP35	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PCCB	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
ATP5PF	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
ITCH	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
ACOT8	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PHB2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RBP5	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
TRIM21	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
H2AC14	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
H2BC11	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPS13	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPS2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PSMC3	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
OSTF1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SMARCC1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL19	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL23A	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
WRN	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RAD51	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPS17	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
LHX8	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
EIF3K	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SYNCRIP	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
TRIP6	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
FA2H	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
TRAIP	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
BEND5	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
IRAK1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
UBE2V1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
IRF1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
CDR2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PTK2B	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
GOLGA2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
ASGR2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
TSC22D4	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
FAM107A	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL23	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
CTBP2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
GYPB	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL5	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
IGHG1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
NR2C1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
POLR1A	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPLP0	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
ARNTL	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SUMO2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PARP1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
EIF4H	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
GABRA3	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
KDM1A	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
DPPA2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SNX15	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPS19	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
HDAC3	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
HDAC5	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SMARCA5	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
HDAC7	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SMARCD1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL22	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
EXT1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL24	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
CPSF4	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SMC1A	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RNF8	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
L3MBTL3	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SRSF4	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
FRS3	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
EIF3B	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
XRCC5	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
CEP70	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
ASF1B	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
CKB	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
TNFAIP6	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL34	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL35	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
ZNF496	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
MRPS27	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
NAPA	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
NUP62	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PRPF8	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
MSH3	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
DNAJA3	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
TP53	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
HGS	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PCMT1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PLEK	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL8	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
NCL	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
BAG2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
H2AC12	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RBBP4	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
CCT3	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SIN3A	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL14	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL15	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL18	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
TOMM5	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL21	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SMARCA4	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
ANKRD39	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
CCL18	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPS6	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
CDC34	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
CDH19	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
MAPRE3	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
MLLT6	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
MKRN2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
FATE1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
CCNDBP1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
CCL21	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
CENPQ	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PFKM	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
ARAF	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
TUBB	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
VCP	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
HNRNPK	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
TXNIP	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
WBP11	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
ZC3H12A	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
ENO1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
EDNRA	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
TSG101	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
NEDD8	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PABPC1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPL7A	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PCNA	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
GNA11	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
EIF4A2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RAN	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
H1-10	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
H2AC7	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
CDYL2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
CCT8	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
CCT6A	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SNRPE	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
SMARCA1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
ZNF24	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPS24	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
POLA1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
BIRC5	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
CCDC89	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
FBXO2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
VIM	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
CBR3	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPS8	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
LGALS3BP	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RPS9	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
YWHAE	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
NFE2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
TMEM115	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
RAB20	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
PNMA1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
CYTH3	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
LDHB	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
EEF1G	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
TCP1	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
TSR2	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
CRYAB	Human herpesvirus 1	HHV-1	dsDNA	Herpesviridae
