Virus	Abbre	Carrier	Carrier TaxId	Carrier Taxa
Epstein-Barr virus	EBV	pan troglodytes	9598	primates
Epstein-Barr virus	EBV	macaca arctoides	9540	primates
Epstein-Barr virus	EBV	cercocebus atys	9531	primates
Epstein-Barr virus	EBV	tupaia chinensis	246437	mammals
Epstein-Barr virus	EBV	erythrocebus patas	9538	primates
Epstein-Barr virus	EBV	tupaia glis	9395	mammals
Epstein-Barr virus	EBV	saimiri sciureus	9521	primates
Epstein-Barr virus	EBV	macaca mulatta	9544	primates
Epstein-Barr virus	EBV	macaca fuscata	9542	primates
Epstein-Barr virus	EBV	canis lupus	9612	mammals
Epstein-Barr virus	EBV	aotus trivirgatus	9505	primates
Epstein-Barr virus	EBV	oryctolagus cuniculus	9986	mammals
Epstein-Barr virus	EBV	hylobates lar	9580	primates
Epstein-Barr virus	EBV	saguinus oedipus	9490	primates
Epstein-Barr virus	EBV	papio hamadryas	9557	primates
Hepatitis C virus	HCV	homo sapiens	9606	primates
Hepatitis C virus	HCV	myodes glareolus	447135	rodents
Hepatitis C virus	HCV	chlorocebus aethiops	9534	primates
Hepatitis C virus	HCV	mus musculus	10090	rodents
Hepatitis C virus	HCV	cimex lectularius	79782	invertebrates
Hepatitis C virus	HCV	pan troglodytes	9598	primates
Hepatitis C virus	HCV	equus asinus	9793	mammals
Hepatitis C virus	HCV	tupaia belangeri	37347	mammals
Hepatitis C virus	HCV	myodes rutilus	537920	rodents
Hepatitis C virus	HCV	tupaia glis	9395	mammals
Hepatitis C virus	HCV	cavia porcellus	10141	rodents
Hepatitis C virus	HCV	macaca mulatta	9544	primates
Hepatitis C virus	HCV	rhabdomys pumilio	121573	rodents
Hepatitis C virus	HCV	tupaia chinensis	246437	mammals
Hepatitis C virus	HCV	macaca fascicularis	9541	primates
Hepatitis C virus	HCV	rattus norvegicus	10116	rodents
Hepatitis C virus	HCV	bos taurus	9913	mammals
Hepatitis C virus	HCV	peromyscus maniculatus	10042	rodents
Hepatitis C virus	HCV	equus caballus	9796	mammals
Human adenovirus C	HAdV	homo sapiens	9606	primates
Human adenovirus C	HAdV	sigmodon hispidus	42415	rodents
Human adenovirus C	HAdV	pongo pygmaeus	9600	primates
Human adenovirus C	HAdV	cavia porcellus	10141	rodents
Human adenovirus C	HAdV	gorilla beringei	499232	primates
Human adenovirus C	HAdV	cichorium intybus	13427	plants
Human adenovirus C	HAdV	lactuca sativa	4236	plants
Human adenovirus C	HAdV	pan troglodytes	9598	primates
Human adenovirus C	HAdV	macaca mulatta	9544	primates
Human adenovirus C	HAdV	spinacia oleracea	3562	plants
Human adenovirus C	HAdV	callithrix jacchus	9483	primates
Human adenovirus C	HAdV	callithrix pygmaea	9493	primates
Human adenovirus C	HAdV	gorilla gorilla	9593	primates
Human adenovirus C	HAdV	mesocricetus auratus	10036	rodents
Human adenovirus C	HAdV	pan paniscus	9597	primates
Human cytomegalovirus	HCMV	homo sapiens	9606	primates
Human cytomegalovirus	HCMV	macaca mulatta	9544	primates
Human cytomegalovirus	HCMV	macaca fascicularis	9541	primates
Human cytomegalovirus	HCMV	sus scrofa	9823	mammals
Human cytomegalovirus	HCMV	pan troglodytes	9598	primates
Human cytomegalovirus	HCMV	cavia porcellus	10141	rodents
Human cytomegalovirus	HCMV	papio ursinus	36229	primates
Human cytomegalovirus	HCMV	chlorocebus aethiops	9534	primates
Human cytomegalovirus	HCMV	equus caballus	9796	mammals
Human herpesvirus 1	HHV-1	homo sapiens	9606	primates
Human herpesvirus 1	HHV-1	callithrix jacchus	9483	primates
Human herpesvirus 1	HHV-1	aotus azarai	30591	primates
Human herpesvirus 1	HHV-1	chlorocebus aethiops	9534	primates
Human herpesvirus 1	HHV-1	chlorocebus sabaeus	60711	primates
Human herpesvirus 1	HHV-1	sus scrofa	9823	mammals
Human herpesvirus 1	HHV-1	aotus trivirgatus	9505	primates
Human herpesvirus 1	HHV-1	gorilla gorilla	9593	primates
Human herpesvirus 1	HHV-1	tupaia glis	9395	mammals
Human herpesvirus 1	HHV-1	lemur catta	9447	primates
Human herpesvirus 1	HHV-1	ondatra zibethicus	10060	rodents
Human herpesvirus 1	HHV-1	oryctolagus cuniculus	9986	mammals
Human herpesvirus 1	HHV-1	callithrix penicillata	57378	primates
Human herpesvirus 1	HHV-1	alouatta caraya	9502	primates
Human herpesvirus 1	HHV-1	pithecia pithecia	43777	primates
Human herpesvirus 1	HHV-1	tursiops truncatus	9739	mammals
Human herpesvirus 1	HHV-1	hylobates lar	9580	primates
Human herpesvirus 1	HHV-1	tupaia belangeri	37347	mammals
Human herpesvirus 1	HHV-1	ovis aries	9940	mammals
Human herpesvirus 1	HHV-1	cavia porcellus	10141	rodents
Human herpesvirus 1	HHV-1	capra hircus	9925	mammals
Human herpesvirus 1	HHV-1	sigmodon hispidus	42415	rodents
Human herpesvirus 1	HHV-1	callithrix pygmaea	9493	primates
Human herpesvirus 1	HHV-1	pan troglodytes	9598	primates
Human herpesvirus 1	HHV-1	gorilla beringei	499232	primates
Human herpesvirus 1	HHV-1	erinaceus europaeus	9365	mammals
Human herpesvirus 1	HHV-1	pongo pygmaeus	9600	primates
Human herpesvirus 1	HHV-1	macaca mulatta	9544	primates
Human herpesvirus 1	HHV-1	hylobates agilis	9579	primates
Human herpesvirus 1	HHV-1	tupaia chinensis	246437	mammals
Human herpesvirus 1	HHV-1	mesocricetus auratus	10036	rodents
Human immunodeficiency virus 1	HIV-1	homo sapiens	9606	primates
Human immunodeficiency virus 1	HIV-1	sus scrofa	9823	mammals
Human immunodeficiency virus 1	HIV-1	semnopithecus entellus	88029	primates
Human immunodeficiency virus 1	HIV-1	macaca leonina	90387	primates
Human immunodeficiency virus 1	HIV-1	macaca nemestrina	9545	primates
Human immunodeficiency virus 1	HIV-1	bos taurus	9913	mammals
Human immunodeficiency virus 1	HIV-1	ovis aries	9940	mammals
Human immunodeficiency virus 1	HIV-1	pan troglodytes	9598	primates
Human immunodeficiency virus 1	HIV-1	macaca mulatta	9544	primates
Human immunodeficiency virus 1	HIV-1	gorilla gorilla	9593	primates
Human immunodeficiency virus 1	HIV-1	cercocebus atys	9531	primates
Human immunodeficiency virus 1	HIV-1	capra hircus	9925	mammals
Human immunodeficiency virus 1	HIV-1	hylobates lar	9580	primates
Human immunodeficiency virus 1	HIV-1	chlorocebus aethiops	9534	primates
Human papillomavirus 33	HPV-33	homo sapiens	9606	primates
Human papillomavirus 16	HPV-16	macaca mulatta	9544	primates
Human papillomavirus 18	HPV-18	equus caballus	9796	mammals
Human papillomavirus 6b	HPV-6b	homo sapiens	9606	primates
Human papillomavirus 16	HPV-16	komagataella pastoris	4922	plants
Human papillomavirus 18	HPV-18	homo sapiens	9606	primates
Human papillomavirus 11	HPV-11	homo sapiens	9606	primates
Human papillomavirus 16	HPV-16	homo sapiens	9606	primates
Human papillomavirus 11	HPV-11	chlorocebus aethiops	9534	primates
Human papillomavirus 31	HPV-31	homo sapiens	9606	primates
Human papillomavirus 18	HPV-18	komagataella pastoris	4922	plants
Human papillomavirus 16	HPV-16	cavia porcellus	10141	rodents
Human papillomavirus 9	HPV-9	felis catus	9685	mammals
Human papillomavirus 5 	HPV-5	homo sapiens	9606	primates
Human respiratory syncytial virus	HRSV	homo sapiens	9606	primates
Human respiratory syncytial virus	HRSV	sus scrofa	9823	mammals
Human respiratory syncytial virus	HRSV	gorilla beringei	499232	primates
Human respiratory syncytial virus	HRSV	cercopithecus ascanius	36223	primates
Human respiratory syncytial virus	HRSV	macaca mulatta	9544	primates
Human respiratory syncytial virus	HRSV	pan troglodytes	9598	primates
Human respiratory syncytial virus	HRSV	pongo pygmaeus	9600	primates
Kaposi's sarcoma-associated herpesvirus	KSHV	homo sapiens	9606	primates
Kaposi's sarcoma-associated herpesvirus	KSHV	papio cynocephalus	9556	primates
Kaposi's sarcoma-associated herpesvirus	KSHV	pan troglodytes	9598	primates
Kaposi's sarcoma-associated herpesvirus	KSHV	callithrix jacchus	9483	primates
Kaposi's sarcoma-associated herpesvirus	KSHV	macaca fuscata	9542	primates
Kaposi's sarcoma-associated herpesvirus	KSHV	saimiri sciureus	9521	primates
Kaposi's sarcoma-associated herpesvirus	KSHV	mandrillus sphinx	9561	primates
Kaposi's sarcoma-associated herpesvirus	KSHV	chlorocebus aethiops	9534	primates
Kaposi's sarcoma-associated herpesvirus	KSHV	papio anubis	9555	primates
Kaposi's sarcoma-associated herpesvirus	KSHV	macaca nemestrina	9545	primates
